"INSTRUMENTID","EXCHANGEID","INSTRUMENTNAME","PRODUCTID","PRODUCTCLASS","MAXLIMITORDERVOLUME","MINLIMITORDERVOLUME","VOLUMEMULTIPLE","PRICETICK","OPENDATE","EXPIREDATE","UNDERLYINGINSTRID","UNDERLYINGMULTIPLE"
"m0809","DCE","豆粕0809","m","1",1000,1,10,1,"20070917","20080912",null,1
"c0805","DCE","黄玉米0805","c","1",2000,1,10,1,"20070522","20080516",null,1
"a0811","DCE","黄大豆1号0811","a","1",1000,1,10,1,"20070522","20081114",null,1
"b0805","DCE","黄大豆2号0805","b","1",1000,1,10,1,"20070522","20080516",null,1
"y0805","DCE","豆油0805","y","1",1000,1,10,2,"20070522","20080516",null,1
"l0805","DCE","线型低密度聚乙烯0805","l","1",1000,1,5,5,"20070522","20080516",null,1
"m0805","DCE","豆粕0805","m","1",1000,1,10,1,"20070522","20080516",null,1
"p0805","DCE","棕榈油0805","p","1",1000,1,10,2,"20070522","20080516",null,1
"WS805","CZCE","优质强筋小麦805","WS","1",1000,1,10,1,"20070524","20080522",null,1
"WT805","CZCE","硬冬白小麦805","WT","1",1000,1,10,1,"20070524","20080522",null,1
"CY901","CZCE","棉纱901","CY","1",1000,1,5,5,"20180116","20190115",null,1
"RO805","CZCE","菜籽油805","RO","1",1000,1,5,2,"20070522","20080516",null,1
"zn0806","SHFE","锌0806","zn","1",500,1,5,5,"20070619","20080616",null,1
"FG901","CZCE","玻璃901","FG","1",1000,1,20,1,"20180116","20190115",null,null
"p0802","DCE","棕榈油0802","p","1",1000,1,10,2,"20070215","20080221",null,1
"j1804","DCE","冶金焦炭1804","j","1",500,1,100,0.5,"20170419","20180417",null,1
"zn0803","SHFE","锌0803","zn","1",500,1,5,5,"20070319","20080317",null,1
"ru0803","SHFE","天然橡胶0803","ru","1",500,1,5,5,"20070319","20080317",null,1
"c0803","DCE","黄玉米0803","c","1",2000,1,10,1,"20070315","20080314",null,1
"a0809","DCE","黄大豆1号0809","a","1",1000,1,10,1,"20070315","20080912",null,1
"b0803","DCE","黄大豆2号0803","b","1",1000,1,10,1,"20070315","20080314",null,1
"al0803","SHFE","铝0803","al","1",500,1,5,5,"20070319","20080317",null,1
"y0803","DCE","豆油0803","y","1",1000,1,10,2,"20070315","20080314",null,1
"l0803","DCE","线型低密度聚乙烯0803","l","1",1000,1,5,5,"20070315","20080314",null,1
"m0803","DCE","豆粕0803","m","1",1000,1,10,1,"20070315","20080314",null,1
"WS803","CZCE","优质强筋小麦803","WS","1",1000,1,10,1,"20070323","20080321",null,1
"WT803","CZCE","硬冬白小麦803","WT","1",1000,1,10,1,"20070323","20080321",null,1
"v1804","DCE","聚氯乙烯1804","v","1",1000,1,5,5,"20170419","20180417",null,0
"MA804","CZCE","甲醇MA804","MA","1",1000,1,10,1,"20170419","20180417",null,0
"RO803","CZCE","菜籽油803","RO","1",1000,1,5,2,"20070315","20080314",null,1
"p0804","DCE","棕榈油0804","p","1",1000,1,10,2,"20070416","20080415",null,1
"cu0804","SHFE","铜0804","cu","1",500,1,5,10,"20070417","20080415",null,1
"ru0804","SHFE","天然橡胶0804","ru","1",500,1,5,5,"20070417","20080415",null,1
"fu0804","SHFE","燃料油0804","fu","1",500,1,10,1,"20070402","20080331",null,1
"TA804","CZCE","精对苯二甲酸804","TA","1",1000,1,5,2,"20170419","20180417",null,1
"jm1804","DCE","焦煤1804","jm","1",1000,1,60,0.5,"20170419","20180417",null,1
"i1804","DCE","铁矿石1804","i","1",1000,1,100,0.5,"20170419","20180417",null,1
"au0807","SHFE","黄金0807","au","1",500,1,1000,0.01,"20080109","20080715",null,1
"au0808","SHFE","黄金0808","au","1",500,1,1000,0.01,"20080109","20080815",null,1
"au0809","SHFE","黄金0809","au","1",500,1,1000,0.01,"20080109","20080916",null,1
"au0810","SHFE","黄金0810","au","1",500,1,1000,0.01,"20080109","20081015",null,1
"au0811","SHFE","黄金0811","au","1",500,1,1000,0.01,"20080109","20081117",null,1
"au0812","SHFE","黄金0812","au","1",500,1,1000,0.01,"20080109","20081215",null,1
"au0901","SHFE","黄金0901","au","1",500,1,1000,0.01,"20080116","20090115",null,1
"cu0805","SHFE","铜0805","cu","1",500,1,5,10,"20070516","20080515",null,1
"ru0807","SHFE","天然橡胶0807","ru","1",500,1,5,5,"20070717","20080715",null,1
"fu0807","SHFE","燃料油0807","fu","1",500,1,10,1,"20070702","20080630",null,1
"al0807","SHFE","铝0807","al","1",500,1,5,5,"20070717","20080715",null,1
"zn0808","SHFE","锌0808","zn","1",500,1,5,5,"20070817","20080815",null,1
"ru0808","SHFE","天然橡胶0808","ru","1",500,1,5,5,"20070817","20080815",null,1
"al0808","SHFE","铝0808","al","1",500,1,5,5,"20070817","20080815",null,1
"y0808","DCE","豆油0808","y","1",1000,1,10,2,"20070815","20080814",null,1
"l0808","DCE","线型低密度聚乙烯0808","l","1",1000,1,5,5,"20070815","20080814",null,1
